#{"t_start": 1760023516.2241907, "env_id": "None"}
r,l,t
0.200737,33,164.725478
-2.529919,18,164.798558
4.129686,40,165.101127
4.20625,39,165.411828
13.415497,68,165.859807
0.422542,30,166.121356
6.849302,51,166.428432
0.974619,37,166.555223
8.953999,57,167.016625
-0.687099,27,167.322886
-2.11869,21,167.58645
2.183192,33,167.881324
8.474321,54,168.380623
-0.825762,26,168.788105
-3.401851,15,169.014968
1.589146,33,169.346339
5.232557,46,169.546799
2.697867,47,169.741074
-0.36308,32,170.045218
-3.93323,11,170.117239
8.702684,47,170.303672
3.061348,39,170.464079
9.904017,55,170.856351
-1.867141,22,171.173642
16.917536,73,171.533138
5.99227,53,172.018052
1.824596,33,172.745879
12.235672,72,173.755385
3.26415,44,174.924248
11.180757,55,175.819353
0.249316,27,176.546304
3.359438,44,177.60212
-3.93727,11,177.779874
9.852307,52,178.580666
-2.98615,15,178.767861
2.644038,39,179.5599
4.992791,54,180.050353
13.182087,62,180.591031
5.694432,40,181.44038
2.689693,44,181.848221
42.583719,115,183.371264
8.529484,56,183.898246
1.712016,43,184.932222
3.984286,49,185.968696
2.600544,38,186.944097
0.484578,39,187.706766
2.330676,38,188.686727
12.751391,60,189.757743
6.337445,60,190.880109
4.854239,45,191.320947
7.819408,52,191.813179
9.429977,48,192.842963
2.971888,37,193.761181
8.210458,69,194.599597
10.397479,60,195.768981
-1.889415,20,196.006272
1.911386,36,196.384179
6.157386,51,196.882478
17.09749,76,197.552982
17.285755,81,198.843608
-3.409093,15,199.708634
8.521252,54,200.226414
4.375042,46,200.707896
11.13365,58,201.745886
-3.200682,17,202.460284
0.99707,42,203.420881
-3.474255,13,204.076513
4.182908,51,204.528405
1.19398,38,205.426071
-3.45963,16,206.209226
5.383638,41,207.08456
-0.257317,26,207.794792
1.168789,38,208.657574
-1.379802,28,208.932371
-3.298768,15,209.576544
2.887372,38,210.411731
9.529937,62,211.001678
21.135312,80,211.756524
-2.499154,16,212.388336
6.919804,49,213.72093
3.515485,39,214.736629
13.710209,75,216.091105
7.809174,53,216.56748
4.327392,57,217.526241
3.532424,35,217.82719
-0.318222,26,218.59999
0.99273,33,219.437708
-0.694277,25,220.148929
-3.238364,15,220.311313
3.487562,41,220.677561
-0.713234,29,221.383092
0.696013,33,222.171032
5.463576,45,222.59545
10.022091,61,223.175372
10.894349,60,224.010933
0.551379,33,224.850229
-3.265476,15,225.540009
-1.235134,22,225.9023
-4.07897,11,226.484753
2.729767,40,226.87287
1.333777,36,227.177794
-0.349243,30,227.470369
5.29121,51,227.948269
-3.75781,15,228.649319
2.189649,55,229.602852
3.29718,43,229.94097
-0.103893,28,230.206466
-1.17777,26,230.452412
-3.039084,16,230.622682
4.602602,39,231.110535
4.888784,39,231.94611
5.058026,42,232.336214
1.196296,34,233.160197
-3.218629,15,233.79285
-3.339143,13,233.9578
4.837438,48,235.031507
-4.112297,11,236.469515
7.936734,58,237.001737
1.438765,36,237.785236
1.692152,41,238.686736
2.35502,38,239.469566
0.838575,38,240.340833
5.895199,43,240.750999
-0.665139,28,241.452034
-2.139444,21,242.134828
3.727977,50,242.62546
2.665749,43,243.531346
0.955286,37,244.325433
4.518868,49,245.388341
1.386726,32,246.116839
4.363155,46,247.014506
-3.599915,13,247.701735
2.41938,39,248.085685
0.073777,36,249.052055
4.058355,54,250.296412
3.60035,38,251.120517
0.202249,26,251.404045
-4.259611,10,251.986602
-2.483233,19,252.67394
10.769411,54,253.161822
14.204118,61,253.700369
4.769205,47,254.601842
2.480851,47,255.042203
-3.617686,14,255.671847
0.346586,28,256.488348
2.698044,41,256.872829
-0.633212,27,257.582089
-0.95866,27,257.950407
